gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,team,teamSaves_rolling,opponentSaves_rolling,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15
2024020122,False,BUF,25,39,3,5,34,22,False,DET,31.4,20.8,34.666666666666664,14.666666666666666,,,,
2024020123,False,PHI,26,23,5,7,16,21,False,MIN,26.2,22.2,23.666666666666668,20.666666666666668,,,,
2024020123,True,MIN,23,26,7,5,21,16,False,PHI,24.6,23.4,24.333333333333332,23.0,,,,
2024020124,True,UTA,23,26,3,2,24,20,False,LAK,21.4,30.6,20.333333333333332,31.0,,,,
2024020124,False,LAK,26,23,2,3,20,24,False,UTA,23.6,26.4,20.0,28.666666666666668,,,,
2024020125,False,BOS,23,34,3,4,30,20,False,TOR,28.6,28.8,28.666666666666668,30.0,,,,
2024020125,True,TOR,34,23,4,3,20,30,False,BOS,27.8,24.8,31.666666666666668,26.333333333333332,,,,
2024020126,True,STL,26,31,5,2,29,21,False,MTL,29.4,23.0,33.0,22.666666666666668,,,,
2024020126,False,MTL,31,26,2,5,21,29,False,STL,31.0,24.0,32.666666666666664,21.333333333333332,,,,
2024020127,True,WSH,21,32,3,0,32,18,False,TBL,22.6,26.2,22.666666666666668,28.333333333333332,,,,
2024020127,False,TBL,32,21,0,3,18,32,False,WSH,23.0,23.2,23.0,25.0,,,,
2024020128,True,ANA,32,33,2,1,32,30,False,NYR,28.2,28.0,27.0,29.0,,,,
2024020128,False,NYR,33,32,1,2,30,32,False,ANA,31.8,23.4,34.666666666666664,22.0,,,,
